Original Eng,Translated AR
that means a lot I'm still traveling,هادشي كايعني بزّاف مازال مسافر
How long will he stay here?,شحال غادي يبقى هنا؟
i did read a book yesterday,قريت واحد كتاب البارح
but he's already turned the fire alarm off,ولكن راه ساهل ليك الجهاز ديال التنبؤ
if only I could calm the dog,كون غير قدرت ن هدو الكلب
don't be racist,ماتكونش لعنصرية
everyone says something different,كولشي كايڭول شي حاجة مختلفة
did you see how nice they are,واش شفتي شحال زوينين
I'm thinking if fix the speed,تانفكّر واش نسّر لسرعة
city is full,المدينة مليحة
no money,ماعندك فاش
which direction is the tram going,فين غادي توموبيل
i will tell you a story,أنا غادي نقول ليك قصة
"Yes, it's not too good right now...",آه، ماشي مزيان بزاف دابا...
they have good gold,عندهم الذهب زوين
take care of the children,دير ليا الدراري
I have one brother and two sisters,عندي واحد أخ و جوج ختي
i called him found him asleep,عيط ليه و لقيتو ناعس
You finally split up with your boyfriend?,أخيرا تقسمتي مع صاحيب ديالك؟
i sold my son for money,بيعت ولدي ب فلوس
You didn't talk back at them for too long. ,ماعمرتيش معاهم بزاف
november,شهر نوفمبر
You don't want to qualify for final,مابغيتيش ت تخصّص ليها ل فينال
she is the one that came,هي هي لي جات
this parc is spacious,هاد البارك مسيان
you are too late to postpone,تعطلي بزّاف باش تعجلّ
clean utensils,صافي المواد
How is work going?,كيفاش كايدي الخدمة؟
why you don't want to go with her,علاش مابغيتيش ت مشي معاها
do you have any discounts or promotions available today?,واش عندك شي خصومات ولا ترقية ليتا؟
i will change your desktop,أنا غادي نبدل ليك ديسكوب
today i gave birth,اليوم ولدت
once i come lets settle it,فاش نجي نڭولو
there is no difference between them,ماكاينش فرق بينهم
i scored 3 against him,راني درت عليه
he was affected emotionally,راه متأثر عاطفي
i'm waiting for you,كانتسنّا فيك
i will harm myself,أنا غادي نضر راسي
Does this bus go to the beach?,واش هاد الباص كايمشي لبحر؟
i will not send you money through him,مابقيتش باغي نستفيد ليك فشي واحد ديال فلوس
i will bring a lock to put on it,أنا غادي نجيب شي قفل باش نلبسها
Or a lolly?,ولا لولي؟
"yes, it is forbidden to swim here",آه، ممنوع تسبح هنا
you will grow up and i will explain,نتا كبر و أنا غادي ن شرح لك
I see you comfortable,كانشوفك راحة
i will outrace you,أنا غادي نخلّطك
My! my poor husband is lost. I do only one closing.,راجل مسكين لي خسرني غير واحد واحد
whats this meal,أش هاد الماكلة
you should never take another job,عمرك ت دير شي خدمة أخرى
You think they made fun of you?,كايدين بلي راهوم كايسخرو بيك؟
he did fool me,راه كايبقى كايبغيني
I talkedto my work friend,هدرت مع صاحبي ف الخدمة
Get us out of here!,خلينا من هنا!
call your girl,عيط ليا بنتك
but thank god nevertheless,ولكن الحمد لله غير
"I'm sorry, I misunderstood.",سمح ليا، فهمت غلط.
we haven't seen each other until weeding night,ماش شفتنا حتى ليل ديال العرس
I dont think  he will climb that tree,مانضنش غادي يتسلق داك شجرة
What did you bring for them?,أش جبتي ليهم؟
i'm your girl dad,أنا بنتك بابا
this boy is innocent,راه معتبر هاد الولد
It seems to me that the last time a lecturer was supposed to be speaking of ancient Egypt.,كايبان ليا آخر مرة كان المفترض ليكسّار يتحدّث على مصر القديمة.
Did you eat any of those mushrooms?,واش كنتي كنتي كاتكل شي واحد من هاد الڭوربة؟
i will travel,أنا غادي نسافر
if only i had an excuse,كون غير قدرت نخرج ليك شي عيب
if only i had a farm,كون غير قدرت نستمر في واحد المزرعة
are you insane or what,واش نتا عيانة ولا أش
it will be fine,غادي تكون مزيان
I dont think i will  leave him alone,مانضنش غادي نخليه
I rarely use a protractor,راه نادرا كانستعمل شي سحاب
A frog came out of the water,خرج واحد البركة من الما
The bottles of the oil get their seal ruined.,زجاج ديال الزيت كايخربو سيلات
I was looking for a villa with a pool for rent .,كنت كانقلب على ولا مع البيسين
who won,شكون ربح
i will hit on her,أنا غادي نضرب عليها
help yourself,عاوي راسك
give yourself some time,عطي راسك شي وقت
he has a nice name,عندو سمي زوين
my grandpa doesnt talk much,جدّي ماكاتلمش بزّاف
work  is hard here,الخدمة صعيبة هنا
or who buy goods,ولا لي كايبيع شي سلعة
what's you father's name,أش سميت باك
you should never bring a book,عمرك تجيب شي كتاب
Tell me about your mother,عاود ليا عاودك
i ate spoiled yogurt,كليت ليهورت مسخور
i hope you are okay,أنا كنتمنى تكوني بخير
I want to get divorced,بغيت نتلاق
"Oh, my God, that's horrible",أوه، اللهي، هادشي سخيف
He did his homework,درا ليه واجب
the food isn't delicious,الماكلة ماشي مزين
the room is big,راه كبيرة هاد الغرفة
good evening wife,مساء الخير زوجتي
How much is it going to cost to get the car fixed?,شحال غادي يكلف باش تصلّب ليك توموبيل؟
i forsake eveyrthing,هربت من شي حاجة
dont eat junk food,ماتكولا ماكلة
All right.,واخا.
no one can harm him,ماكانش واحد يقدر يضر بيه
i dont buy dishes outside in ramadan,ماكانشري لبهر ف رمضان
he is building a villa,هو كايبني فيلا
i'am talking about me,أنا كانحضر على راسي
my condelences,سماتي
"Ok, I'm going to head out with the dog!",واخا، أنا غادي نخرج مع لكلب!
i put it in this street,سدّيتها ف هاد شارع
I think of paying right now,تانفكّر واش ندفع دابا
I'm watching the game,كانفرج فالماتش
he become like this in two months,راه بحال بحال هادشي ف جوج شهر
if only i respond to message,كون غير قدرت ن جاوب على المسالج
why didn't you think of that before?,علاش مافكرتيش ف هادشي قبل؟
i respect you opinion,كانحترم راي ديالك
we stayed here,بقينا هنا
she deosnt say yes,ماكاتقولش بلي
Let me laugh,خليني نضحك
what do you think were the turning points in today's game that led to your team's win?,شنو كيعنّك المقاط ديال لعبة ديال اليوم لي دفعت لفرقة ديالك لربح؟
Chew your food well,مسكّك الماكلة ديالك مزيان
i'm going on stairs,أنا غادي نخرج على درجات
That's a good idea,هاديك فكرة مزيانة
you need to be attentive,خاصك ت تلقّي
i still think about this,مازال كانفكر ف هادشي
you are too focused on him,نتا راك حيت راك ف هاد الدراري
if only i took my dog outside,كون غير قدرت نخرج الكلب ديالي
have you fallen of your head,واش وقعت من راسك
i only touch myself,أنا غير نلمس راسي
go decorate your room,سير زين بيتك
what were you talking about,علاش كنتي كتهدر
"why, just why",علاش، علاش
i will joi nyou ,أنا غادي نتعاون معاك
is it imprtant he pass training,واش مهم هو يخرج من التدريب
Have you tried to harm someone ,عمرك جربتي تسبق شي حد
this dog is savage,هاد الكلب راه شحال
depends on the distance,حسب المسافة
I forgot my dautgher in rooftop,نسيت بنتي ف السطح
If you're not worried in my office,إيلا ماشي قلقي فابلاصتي
Omar gave a book to Mohamed,عمر عطاه كتاب لمحمد
you will find new boxes,غادي تلقاو شي سندوق جديد
this hurt me,راه دراني هادشي
she want to take your child,بغات تحضر ولدك
Friday they give us surprise,الجمعة كايعجبونا
It's the dead of summer,هادا صيف
Do you know when we entered the forest?,واش عارف إمتا دخلنا الغابة؟
go to you sister,سير عند أختك
scared,خايف
stop saying nonesense,باراكا من قولي ماشي
He had his socks inside out,كان عندو جورابات ديالو ف الداخل
How was the experience?,كيداير الخبرة؟
Do you believe that?,واش كاتيقن هادشي؟
It's very important,مهم بزاف
Do you want to talk about it ?,واش بغيتي تهدرو عليه؟
where have you been,فين كنتي
they are yours,هادي ديالك
Are you going to invite a lot of people?,واش غادي تدعو بزاف ديال ناس؟
who are you,شكون نتا
