Original English,tgt,src
that means a lot I'm still traveling,هاد هادشي بزّاي بزّاف بزّاف بزّاف,this is more than a lot of money
How long will he stay here?,كم من الوقت سيبقى هنا؟,How long will he be here?
i did read a book yesterday,كنت قرات كتاب البارحه,I read the book yesterday
but he's already turned the fire alarm off,و لكنّه غادي يطفئ منبه الرّاية,But he will turn off his flag
if only I could calm the dog,كون غير قدرت نريح الكلب,if only I could relax the dog
don't be racist,واش مابغيتيش ديال ديال ديال ديال ديال,you don't want to do this
everyone says something different,راه راه راه راه شي بزّاف,it's too much
did you see how nice they are,واش تشوفو واش هاد هادشي,what are you doing?
I'm thinking if fix the speed,مانفكّر غادي نحسّل السرعة,I don't think I'm gonna fix the speed
city is full,ديال بزّاف,it's too much
no money,بلا مال,no money
which direction is the tram going,إتّجاه هادشي هادّ الحركّة,this is moving
i will tell you a story,أنا غادي نروي عليك قصة,i will tell you a story
"Yes, it's not too good right now...",نعم، هو ماشي جيّد جدا في الوقت الحالي...,"Yeah, it's not very good right now."
they have good gold,عندهم ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,they have dial dial dial dial dial dial dial dial dial
take care of the children,راه ليا الأطفال,the kids saw him
I have one brother and two sisters,عندي أخ واحد و أخوتين,i have one brother and two brothers
i called him found him asleep,واش ناداه وجده نائما,he didn't call him asleep
You finally split up with your boyfriend?,أخيرا انفصلتي مع حبيبك؟,Did you finally break up with your boyfriend?
i sold my son for money,بعت ابني من اجل المال,I sold my son for money
You didn't talk back at them for too long. ,ماعشتيش فيهم لشي طويل.,I live in them for a long time.
november,راه راه بزّاف,it's too much
You don't want to qualify for final,مابغيتيش ترشّح للنهائي,You don't want to run for finale
she is the one that came,هادا هادا هاد باش هاد,this is what this is
this parc is spacious,هادشي باش بزّاف,this is too much
you are too late to postpone,تاخرت بزّاف تاجيل,I'm too late to wait
clean utensils,واش هادي هادشي هادشي,this is not what it is
How is work going?,كيف حال العمل؟,How's work?
why you don't want to go with her,علاش مابغيتيش تمشي معها,why don't you want to go with her
