tgt,src
Do you know who that rowdy group is over there?,واش عارفين شكون هاد المجموعة ديال المزاجات هادي؟
I am in two minds,أنا ف هاد لوعي
i have taught my brother a new game,علمت أخي لعبة جديدة
do as you please,دير لي باغي
You are stingy,نتا راني خايب
if only i tried new food,كون غير قدرت ن جرب الماكلة الجديدة
now who's leaving the other one on seen,دابا شكون لي غايخلي لخر على شفت
i will search and tell you,أنا غادي نلقا و نڭولك
"i'm good now, what do you have?","أنا مزيان دابا, أشنو عندك?"
how do I get there,كيفاش غادي نخرج ليك
take your money,خدي فلوسك
you gave me a lesson,درتي ليا درس
I understand your back hurts and I'm sorry!,فهمت كيفاش كايجرحك و أنا سمح ليا!
Have you tried to live in this neighborhood,عمرك جربتي تعيش ف هاد الحي
i want to shoot,بغيت نطلق
go wash your hands,سير غسل يديك
Let me follow his opinion,خليني نتبع رايته
be attentive you may fall,كون واعيا عفاك تقدر تسقط
twenty minutes,عشرين دقيقة
we talk about you,كاندويرو فيك
"Yes, it was him!",آه، هو هو!
In her free time she read books on cooking,فايمها راحة كانت قرا كتب على الطيب
He is running in the park,راه كايجري فالبارت
you need to take action,خاصك تدير ليك شي خطوة
I'm going to Europe next year,غانمشّ لأوروبا العام الجاي
I'm waiting for you to produce this product,كانتسنّا فيك تخرج هاد لمنتج
i took it to its owner,راني كنتي بهاد ل مالك
available,موجودة
outside,خارج
he prepared a surprise for me,عاود ليا شي مفاجأة
make them happy,فرحهم
you are worthy of nothing,نتا ماستاهل تا شي حاجة
Good idea!,فكرة مزيانة!
i got constipated,راه عندي القبو
i forgive you,أنا كانسحاب ليك
Are you allergic to anything?,واش عندك حساسية من شي حاجة؟
impressive,مدهش
i was locking for a lock,كنت كانقفل على القفل
send me your number,سفت ليا نمرة ديالك
our work paid off,الخدمة ديالنا كانتشاف
my daughter is also like this,بنتي هيتا هكا
Hurry up!,سّر!
they dont know how to wear,راه ماعارفينش كايلبسو
sleep comfortably,ناعس راحة
You're just jealous because I'm better than you.,نتا غير حسدو حيت أنا أحسن منك.
