Original English,Translated AR
that means a lot I'm still traveling,هاد هادشي بزّاي بزّاف بزّاف بزّاف
How long will he stay here?,كم من الوقت سيبقى هنا؟
i did read a book yesterday,كنت قرات كتاب البارحه
but he's already turned the fire alarm off,و لكنّه غادي يطفئ منبه الرّاية
if only I could calm the dog,كون غير قدرت نريح الكلب
don't be racist,واش مابغيتيش ديال ديال ديال ديال ديال
everyone says something different,راه راه راه راه شي بزّاف
did you see how nice they are,واش تشوفو واش هاد هادشي
I'm thinking if fix the speed,مانفكّر غادي نحسّل السرعة
city is full,ديال بزّاف
no money,بلا مال
which direction is the tram going,إتّجاه هادشي هادّ الحركّة
i will tell you a story,أنا غادي نروي عليك قصة
"Yes, it's not too good right now...",نعم، هو ماشي جيّد جدا في الوقت الحالي...
they have good gold,عندهم ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
take care of the children,راه ليا الأطفال
I have one brother and two sisters,عندي أخ واحد و أخوتين
i called him found him asleep,واش ناداه وجده نائما
You finally split up with your boyfriend?,أخيرا انفصلتي مع حبيبك؟
i sold my son for money,بعت ابني من اجل المال
You didn't talk back at them for too long. ,ماعشتيش فيهم لشي طويل.
november,راه راه بزّاف
You don't want to qualify for final,مابغيتيش ترشّح للنهائي
she is the one that came,هادا هادا هاد باش هاد
this parc is spacious,هادشي باش بزّاف
you are too late to postpone,تاخرت بزّاف تاجيل
clean utensils,واش هادي هادشي هادشي
How is work going?,كيف حال العمل؟
why you don't want to go with her,علاش مابغيتيش تمشي معها
do you have any discounts or promotions available today?,عندك ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال؟
i will change your desktop,غادي نغيّر ديالك
today i gave birth,اليوم ولدت
once i come lets settle it,مرّة نأتّي نسوّيها
there is no difference between them,مامن فرق بينهما
i scored 3 against him,سجّلت 3 ضدّه
he was affected emotionally,كان متأثرا عاطفيا
i'm waiting for you,أنا فينّا فيك
i will harm myself,أنا غادي تاخدش ليا
Does this bus go to the beach?,هَلْ هاد الحافلة تَذْهبُ إلى الشاطيء؟
i will not send you money through him,مابغيتيش نرسل لك المال من خلاله
i will bring a lock to put on it,غادي ناغي غادي نوصلها
Or a lolly?,واش ديالي؟
"yes, it is forbidden to swim here",نعم، ممنوع من السباحه هنا
you will grow up and i will explain,غادي تكبر و أنا غادي نوضح
I see you comfortable,راه راهك راه
i will outrace you,أنا غادي نمشي معاك
My! my poor husband is lost. I do only one closing.,زوجي المسكين تاه واش غادي غادي واحد
whats this meal,راه هاد الوجبة
you should never take another job,مابغيتيش تقبلي بوظيفة أخرى
You think they made fun of you?,اتضنين أنهم سخروا منك؟
he did fool me,واش يخدعني
I talkedto my work friend,تَكلّمتُ مع صديق عمل
Get us out of here!,أخرجونا من هنا!
call your girl,ناد على بنتك
but thank god nevertheless,ولكن شكّر الله مع ذلك
"I'm sorry, I misunderstood.",أنا آسف، أنا أسأت فهم.
we haven't seen each other until weeding night,مابقينا نشوف معانا قبل ليل ديال ديال ديال ديال
I dont think  he will climb that tree,مانضنش غادي يتسلق هاد الشجرة
What did you bring for them?,ماالذي جلبته لهم؟
i'm your girl dad,أنا بنتك ديالك
this boy is innocent,هاد الولد برّاء
It seems to me that the last time a lecturer was supposed to be speaking of ancient Egypt.,بدا لي أن آخر مرة كان من المفترض أن يتحدث فيها أحد المحاضرين عن مصر القديمة
Did you eat any of those mushrooms?,أكلتي أي من تلك الفطريات؟
i will travel,أنا غادي نسافر
if only i had an excuse,كون غير قدرت كان عندي عفا
if only i had a farm,كون غير قدرت كان عندي مزرعه
are you insane or what,كونتي مجنونة أو ماشي
it will be fine,غادي نتا غادي نعا
I dont think i will  leave him alone,مانضنش غادي نتركه لوحده
I rarely use a protractor,مانادر نستعمل هاد المغني
A frog came out of the water,واش خرج من الماء
The bottles of the oil get their seal ruined.,زجاجات الزيت خربت ختمها
I was looking for a villa with a pool for rent .,كنت ابحث عن دار ديال بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
who won,راه رابح
i will hit on her,غادي نضرب عليها
help yourself,ساعدي نفسك
give yourself some time,عطي نفسك بعض الوقت
he has a nice name,راه اسماء بزّاف
my grandpa doesnt talk much,جدّي لا يتكلّم بزّاف
work  is hard here,هادشي هاد هادشي
or who buy goods,أو شيّر بزّاف
what's you father's name,ما هو اسم أبّاك؟
you should never bring a book,مابغيتيش تاخد كتاب
Tell me about your mother,حدّثني عن أمّك
i ate spoiled yogurt,غادي تاكل دابا
i hope you are okay,أملت أن تكون بخير
I want to get divorced,أنا غادي نتطلق
"Oh, my God, that's horrible",يإلهي، هادشي فضيع
He did his homework,كان ديال فروضه
the food isn't delicious,غادي غاديش غير شهية
the room is big,غادي بزّاف بزّاف بزّاف
good evening wife,ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
How much is it going to cost to get the car fixed?,كم سيكلف لتصليح السيارة؟
i forsake eveyrthing,واش غادي غادي غادي ديال ديال
dont eat junk food,مابغيتيش تاكل غادي
All right.,كل الحق.
no one can harm him,لا أحد يستطيع إيذائه
i dont buy dishes outside in ramadan,مانبغيش نشتري فاش في رامادان
he is building a villa,راه شيّد فيلا
i'am talking about me,غادي نمشي عني
my condelences,هادشي ليا بزّاف
"Ok, I'm going to head out with the dog!",طيب، أنا غادي ندير مع الكلب!
i put it in this street,أنا غاديته في هاد الشارع
I think of paying right now,فكّر باش ندفّع في الوقت الحالي
I'm watching the game,راه أنا ندير اللعبة
he become like this in two months,كان هادشي هادشي في شهرين
if only i respond to message,كون غير قدرت نرد على الرسالة
why didn't you think of that before?,علاش مافكرتيش من قبل؟
i respect you opinion,واش نحترم راسك
we stayed here,بقينا هنا
she deosnt say yes,ديال ديال باش باش باش باش باش باش باش باش
Let me laugh,خليني نضحك
what do you think were the turning points in today's game that led to your team's win?,ما رأيك كانت نقطة تحوّل في لعبة اليوم التي أدّت إلى فوز فريقك؟
Chew your food well,غادي غدّك بزّاف بزّاف
i'm going on stairs,أنا نمشي على السلالم
That's a good idea,هاد هي فكرة جيدة
you need to be attentive,مابغيتيك تاكون يقظة
i still think about this,مازلنا نفكّر في هادشي
you are too focused on him,واش تا تركيزي عليه
if only i took my dog outside,كون غير قدرت ناخذ كلبي في الخارج
have you fallen of your head,واش تاخد راسك
i only touch myself,أنا فقط ماسّيت نفسي
go decorate your room,سيري بزّاف بزّاف بزّاف
what were you talking about,واش تاكلّم معاك
"why, just why",علاش، علاش
i will joi nyou ,غادي نشوفك
is it imprtant he pass training,هادشي ليا غادي يمّر تمارين
Have you tried to harm someone ,بزّاف باش تاخدّر شخص ما
this dog is savage,هاد الكلب هادشي
depends on the distance,راه بزّاف بزّاف بزّاف
I forgot my dautgher in rooftop,نَسّيتُ ديال ديال ديال في سقف.
If you're not worried in my office,كون غير قلق في مكتبي
Omar gave a book to Mohamed,علّم عمر كتاب لمحمد
you will find new boxes,غادي تجدين علّاف جديدة
this hurt me,هادي جرحني
she want to take your child,مابغيتها تاخد ولدك
Friday they give us surprise,راهونا يوم الجمعة
It's the dead of summer,هاد بزّاف الصّيف
Do you know when we entered the forest?,هل تعلم متى دخلنا من الغابة؟
go to you sister,غادي تا غاديك
scared,خايف
stop saying nonesense,توقّف قايل هادشي
He had his socks inside out,كان ديال ديال جواربه من خارج.
How was the experience?,كيف كانت التجربة؟
Do you believe that?,هل تصدقين هادشي؟
It's very important,راه مهم جدا
Do you want to talk about it ?,واش تنوّد تاكلّم عليه؟
where have you been,واين كنت؟
they are yours,هم ملكك
Are you going to invite a lot of people?,هل ستدعوا الكثير من الناس؟
who are you,هاداك
what songs do you enjoy listening to while cooking?,أشا غادي تستمتعي باش نستمع واش ندير؟
My job,شغلي
some time my parents were scared,بزّاف بزّاف والديّ
taxi us waiting,تاكسي بزّافنا بزّاف
i forgot to bring recharge,غادي نيتي ناش تا غادي نا نا نا غادي
"Well, no not really, but it's like she is watching me",راه، ماشي بزاف، لكن هادشي تشوفني
my legs hurt,ساقاي جرحتا
we will bear the reponsability,غادي نتحمل ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
why you didn't say it earlier,علاش ماقلتيها من قبل
but if I get stuck the girls in here will always help me,ولكن لو غادي نبقا هادشي هادشي غادي دابا يساعدني
We have lost an important contract and we don't understand why,خسرنا عقد مهم ولا نفهم لماذا؟
I need a calculator,أنا بحاجة حاسبة
this stick is sharp,هادشي هادشي بزّاف
I'm waiting for you to get a bigger bag,كانتسنّا فيك باش تاخد كيسا كبير
can i ask you madam,يُمْكِنُ أَنْ أَسْألَك ديالك
we tried new food,جربنا غادي جديد
this is is for what,هادشي هادشي
whats solution,واش ديال ديال ديال ديال ديال ديال
I live in libya,أنا أعيش في ليبيا
"In fact, it all depends on the shape of the glasses",في الحقيقة، كُلّه يَعتمد على شكل الكؤوس
are you sure you don't want to come with us,واش مابغيتيش تجي معانا
go easy on yourself,سيري بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
I'm not sure I understand,ماشي ماشي عارف مافهمت
its for the qerqara,هاد القارقة ديال بزاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
something will happen today,شي شي شي شي هاد اليوم
i learnt coding,تعلّمت ترقّب
What should I wear?,علاش نلبس؟
Let's have lunch !,واش غادينا!
"Hi, I'm having coffee with an orange juice, please.",مرحبا، أنا غادي ديك القهوة مع عصير برتقال، من فضلك.
when will restriction canceled,واين غادي بزّاف
thank god going well,الحمد لله على خير
my problem is known,ديال ديالي معروفة
Have you tried correct bac exam,واش جربتي اختبار ديال ديالك
Two months yet then I'll go,شهران حتى الآن و أنا غادي نمشي
You don't want to fix this clock,مابغيتيش تثبّت هاد الساعة
Do you do a lot of sports?,واش تديري الكثير من الرياضات؟
why do you bother ?,علاش تضايق؟
we end s5 then we think ahead,واش نتخلصو منو 5 واش نفكّر بزّاف
who are you to use me,هادشي تاخدش ليا
i saw a window and looked,رأيت نواة و نظّرت
he is a scammer,راه هادشي هادشي
this job didnt work too well,هاد الشغلة ماعملت بزّاف
consider me your sister not your friend,فكّر ليا شقيقتك واش صديقتك
if just i remember last week,واش غادي نتذكّر بزّاف بزّاف بزّاف
you have nothing to do,ماعندك شي حاجة
you are lacking,مابغيتيش
this house is cheap,هاد البيت رخيص
I'm waiting for you to solve this problem,كانتسنّا فيك تحلّي هاد المشكلة
take your time,خدي وقتك
I dare you to assist for the class,تحداكم باش تقدّم لطلاب الصف
"Come on, give me a connection",هيّا، علّق ليّا بزّاف
It contains antibiotics that are bad for the skin.,ديال ديال ديال ديال ديال ديال ديال ديال البشرة
the devil fooled me,شياطين خانوني
this glass doesnt break,هاد الكوب مانكسر
i work remotely,أنا غادي ندير بزّاف
you need someone who will make you feel comfortable,واش حاجة ليا غادي يريحك
i think just a salade,كانفكّر بزّاف سلّة
he's good my brother,راه أخي
she must be saying same thing about me,واش تقول شي شي شي شي شي عني
i follow the system,غادي نتابع هاد النظام
where have you been,أين كنت؟
Have you tried adapt in a cold country,عمرك جربتي تكيّف في بلد بارد
i drove a car,درّيت سيّارة
why you dont wanna avoid people,علاش مابغيتيش تتفادي ناس
the tv is broken,فالتلفزيون ممزق
i saw him at a car ,راه في سيارة
why are arrogant,علاش نديرو
What's in your pencil case?,واش ف هاد ليك؟
Have you tried negotiatiing with im,واش جربتي تتبادلي مع هادشي
if only I could elevate my kids properly,كون غير قدرت نرفع أطفالي ببراعة
He has no idea,ماعنده من فكرة
It might be,قد يكون
"no one wants to see you like this, so change",لا أحد يريد أن يراك هكذا، فغيّر
They felt that she kidnapped the kid.,شعرو بانها خطفت الطفل
half past,واش نا نا نا نا نا نا نا نا نا هاد
I know you're an English teacher,أنا أعلم أنك معلمة إنجليزية
he has robbed me,راه سرقني
tell her that I'am waiting for her here,قل لها بانني كنت في انتظارها هنا
like everyone else,كالآخرين
rhis is a mess,الرهينة فاشلة
how much is this,باش باش هاد هادشي
i dont know ,مانعرف
me too guys,أنا واش ديال ليا راه
"When I see green, I see red too",عندما أرى خايضرا نشوف حمر أيضا
this is just a theory,هادشي مجرّد نظرية
i will play a nice role,غادي ندير دور جميل
the door handle was hot,ديال باب كان حارا
Have you tried move your head like this,واش جربتي غيري راسك هادشي
where is friendship in this time,واين هي الصدقة في هاد الوقت
