Original Eng,tgt,src
that means a lot I'm still traveling,هادشي كايعني بزّاف مازال مسافر,This is all I can say I am still a traveler
How long will he stay here?,شحال غادي يبقى هنا؟,How will you stay here?
i did read a book yesterday,قريت واحد كتاب البارح,I have read only one book
but he's already turned the fire alarm off,ولكن راه ساهل ليك الجهاز ديال التنبؤ,But there is only one way for you to make a prediction
if only I could calm the dog,كون غير قدرت ن هدو الكلب,I can't hold the club
don't be racist,ماتكونش لعنصرية,You're not going to be a teacher.
everyone says something different,كولشي كايڭول شي حاجة مختلفة,Everybody can do something differently
did you see how nice they are,واش شفتي شحال زوينين,Wash your face now
I'm thinking if fix the speed,تانفكّر واش نسّر لسرعة,Don't think about it?
city is full,المدينة مليحة,The city is full of people
no money,ماعندك فاش,What's your problem?
which direction is the tram going,فين غادي توموبيل,I'm going to your cell phone
i will tell you a story,أنا غادي نقول ليك قصة,I'm going to tell you a story
"Yes, it's not too good right now...",آه، ماشي مزيان بزاف دابا...,"Ah, it was so much fun..."
they have good gold,عندهم الذهب زوين,They have the gold and the two
take care of the children,دير ليا الدراري,Deriya for the day
I have one brother and two sisters,عندي واحد أخ و جوج ختي,I have but one brother and a half brother
i called him found him asleep,عيط ليه و لقيتو ناعس,I went to him and found some sleeping
You finally split up with your boyfriend?,أخيرا تقسمتي مع صاحيب ديالك؟,You finally shared your friend?
i sold my son for money,بيعت ولدي ب فلوس,Sold in full.
You didn't talk back at them for too long. ,ماعمرتيش معاهم بزاف,I'm not going to live with them too.
november,شهر نوفمبر,November
You don't want to qualify for final,مابغيتيش ت تخصّص ليها ل فينال,You need to reserve her for the final
she is the one that came,هي هي لي جات,She's my girl
this parc is spacious,هاد البارك مسيان,This blessing is mine
you are too late to postpone,تعطلي بزّاف باش تعجلّ,Give me too much to get up to speed
clean utensils,صافي المواد,Clean the product
How is work going?,كيفاش كايدي الخدمة؟,How do I get the service?
why you don't want to go with her,علاش مابغيتيش ت مشي معاها,There's nothing you can do to take her away
do you have any discounts or promotions available today?,واش عندك شي خصومات ولا ترقية ليتا؟,Do you have any lessons or upgrades?
i will change your desktop,أنا غادي نبدل ليك ديسكوب,I'm going to change for you
today i gave birth,اليوم ولدت,Today I was born
once i come lets settle it,فاش نجي نڭولو,Fash Nji Nڭولو
there is no difference between them,ماكاينش فرق بينهم,I didn't see any difference between them
i scored 3 against him,راني درت عليه,I was just going to go and see him
he was affected emotionally,راه متأثر عاطفي,That way is emotional
i'm waiting for you,كانتسنّا فيك,They were with you
i will harm myself,أنا غادي نضر راسي,I'm going to the funeral.
Does this bus go to the beach?,واش هاد الباص كايمشي لبحر؟,Do you wash this bus like I'm going to sea?
i will not send you money through him,مابقيتش باغي نستفيد ليك فشي واحد ديال فلوس,I'm not going to ask you for any money.
i will bring a lock to put on it,أنا غادي نجيب شي قفل باش نلبسها,I'm going to get her locked and I'm going to wear her
Or a lolly?,ولا لولي؟,Or not?
"yes, it is forbidden to swim here",آه، ممنوع تسبح هنا,"Ah, it is forbidden to swim here"
you will grow up and i will explain,نتا كبر و أنا غادي ن شرح لك,I'm gonna explain you
I see you comfortable,كانشوفك راحة,I saw you at rest
i will outrace you,أنا غادي نخلّطك,I'm going to disengage you
My! my poor husband is lost. I do only one closing.,راجل مسكين لي خسرني غير واحد واحد,Man Missing me is my only one
whats this meal,أش هاد الماكلة,I'm on this one.
you should never take another job,عمرك ت دير شي خدمة أخرى,Your life is too late for another service
You think they made fun of you?,كايدين بلي راهوم كايسخرو بيك؟,Do you know how I can help you?
he did fool me,راه كايبقى كايبغيني,How can I stay and get away?
I talkedto my work friend,هدرت مع صاحبي ف الخدمة,I've been working with my employer
Get us out of here!,خلينا من هنا!,Let's get out of here!
