tgt,src
Do you know who that rowdy group is over there?,واش عارف من هاد المجموعة راه؟
I am in two minds,أنا في عقلين
i have taught my brother a new game,علّمت أخّي لعبة جديدة
do as you please,راه ليك بزّاف
You are stingy,راه بزّاف بزّاف بزّاف بزّاف
if only i tried new food,كون غير قدرت نجرب غادي جديد
now who's leaving the other one on seen,راه راه راه راه
i will search and tell you,أنا غادي نفتش ونخبرك
"i'm good now, what do you have?",أنا بخير الآن، واش عندك؟
how do I get there,كيف ندير هادشي
take your money,خادي ليا مالك
you gave me a lesson,عطيتيني درس
I understand your back hurts and I'm sorry!,فهمتك بظهرك تتألم و أنا نادم!
Have you tried to live in this neighborhood,عمرك جربتي تعيشي في هاد الحي
i want to shoot,بغيت نطلق
go wash your hands,واش غادي يديك
Let me follow his opinion,خليني نتبع راسه
be attentive you may fall,كونو حذرين عليك أن تسقط
twenty minutes,عشرين دقيقة
we talk about you,كنا نتناقش عليك
"Yes, it was him!",نعم، كان هو!
In her free time she read books on cooking,في وقت فراغها كانت تقرا كتب على الطهي
He is running in the park,راه راه يدير في المتنزه
you need to take action,خاصك تاخد ديال ديال
I'm going to Europe next year,أنا غادي لأوروبا العام القادم
I'm waiting for you to produce this product,كانتسنّا فيك تا هاد المنتج
i took it to its owner,أنا غاديته لمالكها
available,راه
outside,خارج
he prepared a surprise for me,راه شي ليا بزّاف ليا
make them happy,كونو فرحين
you are worthy of nothing,راه ماعندكش حاجة
Good idea!,فكرة جيدة!
i got constipated,أنا غادي نتا
i forgive you,غادي يسامحك
Are you allergic to anything?,هل عندك حساسية من أي شي؟
impressive,بزّاف بزّاف
i was locking for a lock,أنا كُنْتُ قفل لa قفل.
send me your number,أرسل ليا رقمك
our work paid off,عمالنا دخلو
my daughter is also like this,بنتي كانت هادشي
Hurry up!,عجّل!
they dont know how to wear,مانعرفو كيف نلبس
sleep comfortably,راه راه راه مزيان
You're just jealous because I'm better than you.,كنت غيراني فقط لأنني أفضل منك.
this girl is too cute,هاد الفتاة لطيفة جدا
don't pass the line,واش مابقا نعبر الخط
reduce sound,قلّل الصوت
I can't see,ماقدرت نشوف
no one saw him in work,ماشاه واحد راه في العمل
Let me give him what he wants,خليني نعطه مايريد
Let me ask them,خليني نسالهم
you are too late to take him t oschool,تعطلت بزّاف باش تاخدّيه ديال المدرسة
Let me do my research,خليني ندير بحثي
as you like,كايعجبك
he cut himself when he was shaving,راه يقطّع على نفسه بينما كان يحلّق
this wall is strong wont fall,هاد الجدار قوي هادشي
What do you have to eat?,ماعندك لتاكل؟
let's go fishing,خلينا نمشي نصطاد
he went to open the door,دار ليفتح الباب
first time i travel,أول مرة نسافر
he is fed up with you,راه رتّب عليك
this is a classical lesson,هاد درس كلاسيكي
its logical you do your errands now,راه واش تدير ليك فهادشي ديالك
they are just friend,كونو غير صديقين
one file of,واحد من ملف واحد
watch out,راه
he will never leave the girls,واش ماكان ليترك هاد البنات
I dare you to heal for sickness,نتحداك تداوي لمرض
don't be bothered,واش مابقات تاخدش
That's easy!,هادشي هادشي!
my stomach will hurt,معدتي ستاكل
when you are available,واش تا غادي تا
give me drink,راه ليا شرب
